TS,RxID,RSSI,SNR
514,1,-129.6,-13
1028,2,-129.6,-13
1542,3,-130.6,-14
2056,4,-129.6,-13
2570,5,-129.6,-13
3084,6,-130.6,-14
3598,7,-131.6,-14
4112,8,-128.5,-12
4626,9,-128.5,-12
5140,10,-129.6,-12
5654,11,-129.6,-12
6168,12,-129.6,-13
6682,13,-128.5,-12
7196,14,-128.5,-12
7710,15,-128.5,-12
8224,16,-128.5,-13
8738,17,-128.5,-12
9252,18,-128.5,-12
9766,19,-128.5,-12
10280,20,-128.5,-12
10794,21,-127.5,-12
11308,22,-127.5,-11
11822,23,-128.5,-12
12336,24,-128.5,-12
12850,25,-128.5,-12
13364,26,-128.5,-13
13878,27,-129.6,-13
14392,28,-128.5,-13
14906,29,-127.5,-12
15420,30,-126.5,-11
15934,31,-127.5,-12
16448,32,-127.5,-12
16962,33,-129.6,-13
17476,34,-127.5,-13
17990,35,-128.5,-13
18504,36,-128.5,-12
19018,37,-128.5,-12
19532,38,-128.5,-12
20046,39,-128.5,-12
20560,40,-128.5,-12
21074,41,-128.5,-12
21588,42,-128.5,-12
22102,43,-127.5,-12
22616,44,-127.5,-12
23130,45,-127.5,-12
23644,46,-127.5,-12
24158,47,-128.5,-12
24672,48,-128.5,-12
25186,49,-127.5,-12
25700,50,-129.6,-13
26214,51,-129.6,-13
26728,52,-128.5,-13
27242,53,-127.5,-12
27756,54,-127.5,-12
28270,55,-128.5,-12
28784,56,-127.5,-12
29298,57,-128.5,-12
29812,58,-127.5,-12
30326,59,-128.5,-12
30840,60,-127.5,-12
31354,61,-127.5,-12
31868,62,-128.5,-12
32382,63,-128.5,-12
32896,64,-127.5,-12
33410,65,-127.5,-12
33924,66,-127.5,-12
34438,67,-128.5,-12
34952,68,-128.5,-12
35466,69,-126.5,-11
35980,70,-127.5,-12
36494,71,-129.6,-13
37008,72,-128.5,-13
37522,73,-127.5,-12
38036,74,-127.5,-12
38550,75,-128.5,-12
39064,76,-128.5,-13
39578,77,-129.6,-13
40092,78,-127.5,-12
40606,79,-128.5,-12
41120,80,-127.5,-12
41634,81,-128.5,-12
42148,82,-128.5,-13
42662,83,-128.5,-13
43176,84,-129.6,-13
43690,85,-128.5,-13
44204,86,-128.5,-12
44718,87,-127.5,-12
45232,88,-128.5,-12
45746,89,-127.5,-12
46260,90,-127.5,-12
46774,91,-128.5,-12
47288,92,-128.5,-13
47802,93,-129.6,-13
48316,94,-128.5,-13
48830,95,-128.5,-13
49344,96,-129.6,-13
49858,97,-129.6,-13
50372,98,-128.5,-13
50886,99,-128.5,-12
51400,100,-128.5,-13
51914,101,-127.5,-12
52428,102,-127.5,-12
52942,103,-129.6,-13
53456,104,-127.5,-12
53970,105,-129.6,-13
54484,106,-127.5,-12
54998,107,-127.5,-12
55512,108,-128.5,-13
56026,109,-128.5,-13
56540,110,-128.5,-13
57054,111,-128.5,-12
57568,112,-128.5,-13
58082,113,-127.5,-12
58596,114,-128.5,-13
59110,115,-128.5,-13
59624,116,-127.5,-12
60138,117,-128.5,-14
60652,118,-128.5,-13
61166,119,-128.5,-13
61680,120,-128.5,-13
62194,121,-129.6,-13
62708,122,-127.5,-12
63222,123,-127.5,-12
63736,124,-127.5,-12
64250,125,-127.5,-12
64764,126,-127.5,-12
65278,127,-128.5,-13
65792,128,-127.5,-12
66306,129,-127.5,-12
66820,130,-127.5,-12
67334,131,-127.5,-12
67848,132,-127.5,-12
68362,133,-128.5,-13
68876,134,-127.5,-12
69390,135,-127.5,-12
69904,136,-127.5,-12
70418,137,-127.5,-12
70932,138,-129.6,-13
71446,139,-127.5,-12
71960,140,-127.5,-12
72474,141,-127.5,-12
72988,142,-127.5,-12
73502,143,-129.6,-13
74016,144,-128.5,-12
74530,145,-127.5,-12
75044,146,-129.6,-13
75558,147,-127.5,-12
76072,148,-127.5,-12
76586,149,-128.5,-12
77100,150,-127.5,-12
77614,151,-127.5,-12
78128,152,-127.5,-13
78642,153,-129.6,-14
79156,154,-127.5,-12
79670,155,-127.5,-12
80184,156,-128.5,-13
80698,157,-127.5,-12
81212,158,-127.5,-12
81726,159,-127.5,-12
82240,160,-128.5,-13
82754,161,-128.5,-12
83268,162,-127.5,-12
83782,163,-127.5,-12
84296,164,-127.5,-12
84810,165,-128.5,-12
85324,166,-128.5,-12
85838,167,-128.5,-12
86352,168,-127.5,-13
86866,169,-128.5,-13
87380,170,-127.5,-12
87894,171,-128.5,-13
88408,172,-128.5,-12
88922,173,-127.5,-12
89436,174,-128.5,-12
89950,175,-127.5,-12
90464,176,-128.5,-13
90978,177,-127.5,-12
91492,178,-127.5,-13
92006,179,-128.5,-13
92520,180,-128.5,-12
93034,181,-128.5,-13
93548,182,-129.6,-13
94062,183,-128.5,-12
94576,184,-127.5,-12
95090,185,-127.5,-12
95604,186,-128.5,-12
96118,187,-127.5,-12
96632,188,-128.5,-13
97146,189,-128.5,-12
97660,190,-128.5,-13
98174,191,-128.5,-13
98688,192,-128.5,-13
99202,193,-127.5,-12
99716,194,-128.5,-12
100230,195,-127.5,-12
100744,196,-128.5,-12
101258,197,-127.5,-12
101772,198,-128.5,-12
102286,199,-128.5,-12
102800,200,-127.5,-12
103314,201,-129.6,-13
103828,202,-127.5,-12
104342,203,-127.5,-12
104856,204,-127.5,-12
105370,205,-127.5,-12
105884,206,-127.5,-12
106398,207,-127.5,-12
106912,208,-127.5,-12
107426,209,-128.5,-13
107940,210,-127.5,-12
108454,211,-128.5,-12
108968,212,-128.5,-13
109482,213,-128.5,-12
109996,214,-127.5,-12
110510,215,-127.5,-12
111024,216,-128.5,-13
111538,217,-128.5,-13
112052,218,-127.5,-12
112566,219,-127.5,-12
113080,220,-128.5,-13
113594,221,-129.6,-13
114108,222,-127.5,-12
114622,223,-127.5,-12
115136,224,-127.5,-12
115650,225,-128.5,-14
116164,226,-127.5,-12
116678,227,-128.5,-12
117192,228,-129.6,-13
117706,229,-128.5,-13
118220,230,-128.5,-12
118734,231,-127.5,-12
119248,232,-128.5,-12
119762,233,-128.5,-13
120276,234,-129.6,-13
120790,235,-128.5,-13
121304,236,-127.5,-12
121818,237,-128.5,-12
122332,238,-128.5,-13
122846,239,-127.5,-12
123360,240,-128.5,-12
123874,241,-128.5,-13
124388,242,-128.5,-12
124902,243,-127.5,-12
125416,244,-128.5,-13
125930,245,-127.5,-12
126444,246,-127.5,-12
126958,247,-127.5,-12
127472,248,-128.5,-13
127986,249,-128.5,-12
128500,250,-128.5,-12
129014,251,-127.5,-12
129528,252,-129.6,-13
130042,253,-127.5,-12
130556,254,-128.5,-12
131070,255,-128.5,-12
131584,256,-127.5,-12
132098,257,-128.5,-13
132612,258,-127.5,-12
133126,259,-127.5,-12
133640,260,-128.5,-12
134154,261,-127.5,-12
134668,262,-128.5,-12
135182,263,-128.5,-12
135696,264,-128.5,-12
136210,265,-129.6,-13
136724,266,-128.5,-12
137238,267,-128.5,-12
137752,268,-127.5,-12
138266,269,-128.5,-12
138780,270,-128.5,-12
139294,271,-127.5,-12
139808,272,-127.5,-13
140322,273,-127.5,-12
140836,274,-126.5,-11
141350,275,-127.5,-12
141864,276,-128.5,-12
142378,277,-128.5,-12
142892,278,-128.5,-12
143406,279,-128.5,-12
143920,280,-127.5,-12
144434,281,-127.5,-12
144948,282,-128.5,-12
145462,283,-127.5,-12
145976,284,-127.5,-12
146490,285,-127.5,-12
147004,286,-127.5,-12
147518,287,-128.5,-13
148032,288,-127.5,-12
148546,289,-128.5,-13
149060,290,-128.5,-12
149574,291,-127.5,-12
150088,292,-127.5,-12
150602,293,-127.5,-12
151116,294,-128.5,-12
151630,295,-127.5,-11
152144,296,-127.5,-12
152658,297,-128.5,-12
153172,298,-128.5,-12
153686,299,-128.5,-12
154200,300,-128.5,-12
154714,301,-127.5,-12
155228,302,-128.5,-13
155742,303,-129.6,-13
156256,304,-128.5,-13
156770,305,-127.5,-12
157284,306,-127.5,-12
157798,307,-129.6,-13
158312,308,-127.5,-12
158826,309,-127.5,-12
159340,310,-127.5,-12
159854,311,-128.5,-13
160368,312,-127.5,-12
160882,313,-127.5,-12
161396,314,-128.5,-12
161910,315,-128.5,-13
162424,316,-127.5,-12
162938,317,-128.5,-13
163452,318,-128.5,-13
163966,319,-127.5,-12
164480,320,-126.5,-12
164994,321,-128.5,-13
165508,322,-128.5,-13
166022,323,-127.5,-12
166536,324,-127.5,-12
167050,325,-128.5,-12
167564,326,-127.5,-13
168078,327,-128.5,-13
168592,328,-127.5,-12
169106,329,-128.5,-13
169620,330,-128.5,-13
170134,331,-128.5,-13
170648,332,-127.5,-14
171162,333,-128.5,-13
171676,334,-128.5,-13
172190,335,-128.5,-13
172704,336,-128.5,-13
173218,337,-127.5,-12
173732,338,-127.5,-12
174246,339,-127.5,-13
174760,340,-128.5,-13
175274,341,-128.5,-13
175788,342,-128.5,-13
176302,343,-127.5,-12
176816,344,-128.5,-13
177330,345,-127.5,-12
177844,346,-129.6,-13
178358,347,-128.5,-13
178872,348,-128.5,-13
179386,349,-128.5,-13
179900,350,-128.5,-13
180414,351,-127.5,-12
180928,352,-127.5,-12
