TS,RxID,RSSI,SNR
0,1,-94.3,9
1257,2,-94.3,9
2514,3,-95.4,10
3771,4,-95.4,10
5028,5,-94.3,10
6285,6,-94.3,9
7542,7,-95.4,9
8799,8,-95.4,9
10056,9,-94.3,9
11313,10,-94.3,9
12570,11,-95.4,9
13827,12,-95.4,9
15084,13,-94.3,9
16341,14,-94.3,9
17598,15,-95.4,9
18855,16,-95.4,9
20112,17,-94.3,9
21369,18,-94.3,9
22626,19,-95.4,9
23883,20,-95.4,9
25140,21,-94.3,9
26397,22,-94.3,10
27654,23,-95.4,9
28911,24,-95.4,9
30168,25,-94.3,9
31425,26,-94.3,9
32682,27,-95.4,9
33939,28,-95.4,10
35196,29,-94.3,9
36453,30,-94.3,10
37710,31,-95.4,9
38967,32,-95.4,9
40224,33,-94.3,9
41481,34,-95.4,9
42738,35,-95.4,9
43995,36,-95.4,9
45252,37,-94.3,9
46509,38,-94.3,9
47766,39,-95.4,9
49023,40,-95.4,10
50280,41,-94.3,9
51537,42,-94.3,9
52794,43,-95.4,9
54051,44,-95.4,9
55308,45,-94.3,10
56565,46,-94.3,9
57822,47,-95.4,9
59079,48,-94.3,10
60336,49,-94.3,9
61593,50,-94.3,10
62850,51,-94.3,10
64107,52,-94.3,9
65364,53,-94.3,9
66621,54,-94.3,9
67878,55,-94.3,9
69135,56,-94.3,10
70392,57,-94.3,9
71649,58,-94.3,9
72906,59,-93.2,9
74163,60,-94.3,9
75420,61,-94.3,10
76677,62,-94.3,9
77934,63,-94.3,9
79191,64,-93.2,9
80448,65,-94.3,9
81705,66,-94.3,9
82962,67,-93.2,10
84219,68,-94.3,9
85476,69,-94.3,10
86733,70,-94.3,10
87990,71,-93.2,10
89247,72,-93.2,10
90504,73,-94.3,9
91761,74,-94.3,9
93018,75,-93.2,10
94275,76,-94.3,10
95532,77,-94.3,10
96789,78,-94.3,10
98046,79,-93.2,9
99303,80,-93.2,10
100560,81,-93.2,9
101817,82,-93.2,9
103074,83,-93.2,10
104331,84,-93.2,10
105588,85,-94.3,10
106845,86,-93.2,9
108102,87,-94.3,9
109359,88,-93.2,10
110616,89,-94.3,9
111874,90,-94.3,9
113131,91,-94.3,7
114388,92,-94.3,10
115645,93,-93.2,10
116902,94,-93.2,9
118159,95,-94.3,9
119416,96,-93.2,10
120673,97,-94.3,9
121930,98,-93.2,9
123187,99,-94.3,9
124444,100,-94.3,10
125701,101,-94.3,9
126958,102,-93.2,9
128215,103,-94.3,10
129472,104,-94.3,9
130729,105,-94.3,10
131986,106,-94.3,9
133243,107,-93.2,10
134500,108,-93.2,10
135757,109,-94.3,9
137014,110,-93.2,10
138271,111,-94.3,10
139528,112,-94.3,10
140785,113,-94.3,10
142042,114,-94.3,9
143299,115,-93.2,10
144556,116,-93.2,10
145813,117,-94.3,10
147070,118,-94.3,10
148327,119,-93.2,9
149584,120,-94.3,10
150841,121,-94.3,10
152098,122,-94.3,10
153355,123,-94.3,9
154612,124,-94.3,10
155869,125,-94.3,10
157126,126,-95.4,10
158383,127,-93.2,10
159640,128,-93.2,10
160897,129,-95.4,10
162154,130,-94.3,9
163411,131,-92.1,9
164668,132,-94.3,10
165925,133,-94.3,9
167182,134,-94.3,10
168439,135,-94.3,10
169696,136,-93.2,10
170953,137,-94.3,9
172210,138,-94.3,9
173467,139,-93.2,10
174724,140,-93.2,10
175981,141,-95.4,9
177238,142,-94.3,10
178495,143,-93.2,10
179752,144,-93.2,9
181009,145,-94.3,10
182266,146,-94.3,10
183523,147,-94.3,9
184780,148,-94.3,10
186037,149,-94.3,9
187294,150,-94.3,9
188551,151,-94.3,9
189808,152,-93.2,10
191065,153,-94.3,10
192322,154,-94.3,10
193579,155,-93.2,10
194836,156,-93.2,9
196093,157,-94.3,10
197350,158,-94.3,9
198607,159,-93.2,10
199864,160,-93.2,10
201121,161,-95.4,10
202378,162,-94.3,9
203635,163,-93.2,10
204892,164,-93.2,10
206149,165,-94.3,10
207406,166,-94.3,9
208663,167,-94.3,9
209920,168,-94.3,10
211177,169,-95.4,9
212434,170,-94.3,10
213691,171,-93.2,10
214948,172,-94.3,10
216205,173,-94.3,10
217462,174,-94.3,9
218719,175,-93.2,9
219976,176,-94.3,10
221233,177,-93.2,10
222490,178,-93.2,10
223747,179,-94.3,10
225004,180,-94.3,9
226262,181,-94.3,9
227519,182,-93.2,10
228776,183,-94.3,9
230033,184,-94.3,10
231290,185,-94.3,9
232547,186,-93.2,10
233804,187,-94.3,10
235061,188,-94.3,10
236318,189,-93.2,9
237575,190,-93.2,10
238832,191,-93.2,10
240089,192,-94.3,10
241346,193,-93.2,9
242603,194,-94.3,9
243860,195,-94.3,10
245117,196,-93.2,10
246374,197,-93.2,9
247631,198,-94.3,9
248888,199,-94.3,10
250145,200,-93.2,9
251402,201,-94.3,9
252659,202,-94.3,10
253916,203,-94.3,10
255173,204,-93.2,10
256430,205,-93.2,10
257687,206,-94.3,10
258944,207,-94.3,10
260201,208,-93.2,10
261458,209,-94.3,10
262715,210,-93.2,9
263972,211,-93.2,9
265229,212,-94.3,9
266486,213,-94.3,9
267743,214,-94.3,9
269000,215,-93.2,9
270257,216,-93.2,9
271514,217,-94.3,9
272771,218,-93.2,10
274028,219,-94.3,9
275285,220,-93.2,9
276542,221,-94.3,9
277799,222,-94.3,10
279056,223,-93.2,9
280313,224,-93.2,9
281570,225,-94.3,10
282827,226,-93.2,10
284084,227,-94.3,9
285341,228,-93.2,9
286598,229,-93.2,9
287855,230,-93.2,9
289112,231,-93.2,10
290369,232,-93.2,10
291626,233,-93.2,9
292883,234,-93.2,9
294140,235,-93.2,9
295397,236,-93.2,9
296654,237,-94.3,9
297911,238,-94.3,10
299168,239,-93.2,10
300425,240,-93.2,9
301682,241,-93.2,9
302939,242,-93.2,9
304196,243,-94.3,10
305453,244,-94.3,10
306710,245,-93.2,10
307967,246,-93.2,10
309224,247,-94.3,9
310481,248,-94.3,9
311738,249,-93.2,9
312995,250,-93.2,10
314252,251,-94.3,10
315509,252,-94.3,10
316766,253,-93.2,10
318023,254,-93.2,9
319280,255,-94.3,9
320537,256,-94.3,10
321794,257,-94.3,10
323051,258,-93.2,10
324308,259,-94.3,10
325565,260,-94.3,10
326822,261,-94.3,9
328079,262,-93.2,9
329336,263,-94.3,9
330593,264,-94.3,10
331850,265,-93.2,10
333107,266,-93.2,10
334364,267,-95.4,10
335621,268,-94.3,10
336878,269,-94.3,10
338135,270,-94.3,9
339392,271,-94.3,10
340650,272,-94.3,10
341907,273,-94.3,10
343164,274,-93.2,9
344421,275,-94.3,10
345678,276,-95.4,10
346935,277,-94.3,9
348192,278,-94.3,10
349449,279,-94.3,10
350706,280,-94.3,10
351963,281,-93.2,9
353220,282,-94.3,9
354477,283,-94.3,10
355734,284,-94.3,10
356991,285,-94.3,10
358248,286,-93.2,10
359505,287,-95.4,9
360762,288,-94.3,10
362019,289,-94.3,10
363276,290,-94.3,9
364533,291,-94.3,9
365790,292,-94.3,10
367047,293,-93.2,10
368304,294,-94.3,10
369561,295,-94.3,9
370818,296,-94.3,10
372075,297,-94.3,10
373332,298,-94.3,10
374589,299,-94.3,10
375846,300,-94.3,10
377103,301,-93.2,10
378360,302,-93.2,10
379617,303,-94.3,9
380874,304,-94.3,10
382131,305,-93.2,9
383388,306,-93.2,10
384645,307,-93.2,10
385902,308,-93.2,10
387159,309,-93.2,10
388416,310,-93.2,10
389673,311,-93.2,10
390930,312,-93.2,10
392187,313,-93.2,10
393444,314,-94.3,10
394701,315,-93.2,10
395958,316,-93.2,9
397215,317,-93.2,10
398472,318,-93.2,10
399729,319,-93.2,10
400986,320,-93.2,9
402243,321,-93.2,9
403500,322,-94.3,9
404757,323,-93.2,10
406014,324,-93.2,9
407271,325,-93.2,9
408528,326,-93.2,10
409785,327,-93.2,9
411042,328,-94.3,10
412299,329,-94.3,10
413556,330,-93.2,10
414813,331,-93.2,9
416070,332,-93.2,9
417327,333,-93.2,10
418584,334,-93.2,10
419841,335,-93.2,9
421098,336,-93.2,10
422355,337,-93.2,9
423612,338,-93.2,10
424869,339,-93.2,10
426126,340,-93.2,10
427383,341,-93.2,10
428640,342,-93.2,9
429897,343,-94.3,10
431154,344,-93.2,9
432411,345,-94.3,10
433668,346,-93.2,10
434925,347,-93.2,10
436182,348,-94.3,10
437439,349,-94.3,9
438696,350,-93.2,9
439953,351,-94.3,10
441210,352,-93.2,9
442467,353,-94.3,10
443724,354,-93.2,10
444981,355,-93.2,10
446238,356,-93.2,10
447495,357,-93.2,10
448752,358,-93.2,9
450009,359,-93.2,9
451266,360,-94.3,10
452523,361,-93.2,10
453780,362,-93.2,10
455038,363,-93.2,10
456295,364,-94.3,9
457552,365,-93.2,9
458809,366,-93.2,9
460066,367,-94.3,10
461323,368,-93.2,10
462580,369,-94.3,9
463837,370,-94.3,9
465094,371,-94.3,9
466351,372,-93.2,9
467608,373,-94.3,10
468865,374,-94.3,10
470122,375,-94.3,9
471379,376,-93.2,8
472636,377,-94.3,9
473893,378,-94.3,9
475150,379,-93.2,9
476407,380,-93.2,9
477664,381,-93.2,9
478921,382,-94.3,9
480178,383,-93.2,9
481435,384,-93.2,9
482692,385,-94.3,9
483949,386,-95.4,9
485206,387,-93.2,9
486463,388,-93.2,9
487720,389,-94.3,9
488977,390,-94.3,9
490234,391,-93.2,10
491491,392,-93.2,10
492748,393,-94.3,9
494005,394,-94.3,10
495262,395,-93.2,10
496519,396,-94.3,9
497776,397,-94.3,10
499033,398,-94.3,10
500290,399,-93.2,9
501547,400,-93.2,10
502804,401,-94.3,9
504061,402,-94.3,9
505318,403,-93.2,9
506575,404,-94.3,9
507832,405,-94.3,9
509089,406,-94.3,9
510346,407,-93.2,9
511603,408,-93.2,10
512860,409,-94.3,9
514117,410,-94.3,10
515374,411,-94.3,10
516631,412,-93.2,10
517888,413,-94.3,9
519145,414,-94.3,9
520402,415,-93.2,10
521659,416,-94.3,10
522916,417,-94.3,10
524173,418,-94.3,9
525430,419,-93.2,10
526687,420,-93.2,10
527944,421,-94.3,9
529201,422,-94.3,9
530458,423,-93.2,9
531715,424,-94.3,10
532972,425,-94.3,9
534229,426,-93.2,9
535486,427,-93.2,8
536743,428,-93.2,10
538000,429,-94.3,9
539257,430,-94.3,10
540514,431,-93.2,10
541771,432,-93.2,9
543028,433,-93.2,9
544285,434,-93.2,10
545542,435,-93.2,10
546799,436,-93.2,10
548056,437,-93.2,10
549313,438,-93.2,10
550570,439,-94.3,10
551827,440,-93.2,10
553084,441,-93.2,10
554341,442,-93.2,10
555598,443,-93.2,10
556855,444,-93.2,10
558112,445,-93.2,10
559369,446,-93.2,10
560626,447,-93.2,10
561883,448,-93.2,10
563140,449,-93.2,10
564397,450,-93.2,10
565654,451,-93.2,10
566911,452,-93.2,10
568168,453,-93.2,10
569426,454,-93.2,10
570683,455,-93.2,10
571940,456,-93.2,9
573197,457,-93.2,10
574454,458,-93.2,10
575711,459,-93.2,10
576968,460,-93.2,10
578225,461,-93.2,10
579482,462,-93.2,9
580739,463,-93.2,10
581996,464,-93.2,10
583253,465,-93.2,10
584510,466,-93.2,10
585767,467,-94.3,10
587024,468,-94.3,10
588281,469,-93.2,10
589538,470,-94.3,10
590795,471,-94.3,10
