TS,RxID,RSSI,SNR
0,1,-103.8,13
1257,2,-103.8,13
2514,3,-102.7,13
3771,4,-102.7,13
5028,5,-102.7,13
6285,6,-102.7,12
7542,7,-102.7,12
8799,8,-102.7,12
10056,9,-102.7,13
11313,10,-103.8,12
12570,11,-102.7,12
13827,12,-102.7,12
15084,13,-103.8,12
16341,14,-102.7,13
17598,15,-103.8,13
18855,16,-102.7,13
20112,17,-103.8,12
21369,18,-103.8,12
22626,19,-102.7,13
23883,20,-102.7,13
25140,21,-103.8,13
26397,22,-102.7,13
27654,23,-101.6,13
28911,24,-102.7,13
30168,25,-102.7,13
31425,26,-102.7,13
32682,27,-102.7,12
35196,29,-102.7,13
36453,30,-102.7,13
37710,31,-102.7,13
38967,32,-102.7,12
40224,33,-103.8,13
42738,35,-102.7,13
43995,36,-102.7,12
45252,37,-102.7,12
47766,39,-101.6,12
49023,40,-101.6,12
50280,41,-102.7,12
51537,42,-102.7,12
52794,43,-102.7,12
54051,44,-102.7,12
55308,45,-102.7,12
56565,46,-102.7,13
57822,47,-102.7,13
59079,48,-102.7,12
60336,49,-102.7,13
61593,50,-102.7,12
62850,51,-102.7,13
64107,52,-102.7,12
65364,53,-102.7,12
66621,54,-102.7,12
67878,55,-102.7,12
69135,56,-102.7,12
70392,57,-102.7,12
71649,58,-102.7,12
72906,59,-102.7,12
75420,61,-101.6,11
79191,64,-116.0,-2
80448,65,-102.7,12
85476,69,-103.8,12
86733,70,-102.7,12
90504,73,-102.7,12
91761,74,-102.7,13
93018,75,-103.8,13
94275,76,-103.8,12
96789,78,-102.7,12
98046,79,-102.7,13
99303,80,-103.8,13
100560,81,-102.7,13
101817,82,-102.7,13
103074,83,-103.8,13
104331,84,-103.8,13
105588,85,-102.7,13
106845,86,-102.7,13
108102,87,-102.7,13
109359,88,-102.7,12
110616,89,-102.7,12
111873,90,-102.7,12
113130,91,-103.8,12
114387,92,-103.8,12
115644,93,-102.7,12
116901,94,-103.8,13
118158,95,-103.8,12
119415,96,-103.8,12
120672,97,-103.8,12
121929,98,-102.7,12
123186,99,-103.8,12
124443,100,-103.8,12
125700,101,-102.7,12
126957,102,-102.7,12
128214,103,-103.8,12
129471,104,-103.8,12
130728,105,-102.7,11
131985,106,-102.7,12
133242,107,-102.7,12
134499,108,-102.7,12
135756,109,-102.7,13
137013,110,-102.7,12
138270,111,-102.7,12
139527,112,-102.7,12
140784,113,-102.7,13
142041,114,-102.7,13
143298,115,-102.7,13
144555,116,-102.7,13
145812,117,-102.7,12
147069,118,-102.7,12
148326,119,-102.7,12
149583,120,-102.7,12
150840,121,-102.7,12
152097,122,-102.7,13
153354,123,-102.7,13
154611,124,-102.7,12
155868,125,-102.7,13
157125,126,-102.7,12
158382,127,-102.7,13
159639,128,-102.7,13
160896,129,-102.7,13
162153,130,-102.7,13
163410,131,-102.7,12
164667,132,-102.7,12
165924,133,-102.7,12
167181,134,-102.7,13
168438,135,-102.7,12
169695,136,-102.7,13
170952,137,-102.7,13
172209,138,-102.7,13
173466,139,-102.7,13
174723,140,-102.7,13
175980,141,-102.7,12
177237,142,-102.7,13
178494,143,-102.7,13
179751,144,-102.7,13
181008,145,-102.7,13
182265,146,-102.7,13
183522,147,-102.7,13
184779,148,-102.7,13
186036,149,-102.7,13
187293,150,-101.6,13
188550,151,-102.7,13
189807,152,-102.7,13
191064,153,-102.7,13
192321,154,-101.6,13
193578,155,-102.7,13
194835,156,-102.7,13
196092,157,-102.7,13
197349,158,-102.7,13
198606,159,-102.7,12
199863,160,-102.7,12
201120,161,-102.7,13
202377,162,-102.7,12
203634,163,-102.7,12
204891,164,-102.7,12
206148,165,-102.7,12
207405,166,-102.7,12
208662,167,-102.7,13
209919,168,-102.7,13
211176,169,-102.7,12
212433,170,-102.7,13
213690,171,-102.7,13
214947,172,-103.8,13
216204,173,-102.7,12
217461,174,-102.7,13
218718,175,-102.7,12
219975,176,-103.8,12
221232,177,-102.7,13
222489,178,-102.7,13
223746,179,-103.8,13
225003,180,-102.7,13
226260,181,-102.7,13
227517,182,-101.6,13
228774,183,-102.7,13
230031,184,-102.7,13
231288,185,-102.7,13
232545,186,-102.7,13
233802,187,-102.7,13
235059,188,-102.7,13
236316,189,-102.7,13
237573,190,-101.6,13
238830,191,-103.8,13
240087,192,-102.7,13
241344,193,-102.7,13
242601,194,-102.7,13
243858,195,-102.7,13
245115,196,-102.7,13
246372,197,-102.7,13
247629,198,-102.7,13
248886,199,-102.7,13
250143,200,-103.8,13
251400,201,-103.8,13
252657,202,-102.7,12
253914,203,-102.7,13
255171,204,-102.7,13
256428,205,-102.7,13
257685,206,-102.7,13
258942,207,-102.7,13
260199,208,-101.6,13
261456,209,-102.7,13
262713,210,-102.7,11
263970,211,-101.6,13
265227,212,-102.7,13
266484,213,-102.7,13
267741,214,-102.7,13
268998,215,-102.7,13
270255,216,-102.7,13
271512,217,-102.7,13
272769,218,-102.7,13
274026,219,-102.7,13
275283,220,-102.7,13
276540,221,-102.7,13
277797,222,-102.7,13
279054,223,-102.7,13
280311,224,-102.7,12
281568,225,-102.7,13
282825,226,-102.7,12
284082,227,-102.7,13
285339,228,-102.7,13
286596,229,-102.7,13
287853,230,-102.7,12
289110,231,-102.7,12
290367,232,-102.7,13
291624,233,-102.7,13
292881,234,-102.7,12
294138,235,-102.7,12
295395,236,-102.7,13
296652,237,-102.7,12
297909,238,-102.7,13
302937,242,-102.7,12
304194,243,-102.7,12
305451,244,-102.7,12
307965,246,-102.7,12
309222,247,-102.7,13
310479,248,-102.7,12
311736,249,-102.7,12
312993,250,-102.7,13
314250,251,-102.7,13
316764,253,-102.7,13
318021,254,-102.7,12
319278,255,-102.7,13
320535,256,-102.7,13
321792,257,-102.7,12
323049,258,-102.7,12
324306,259,-102.7,12
325563,260,-102.7,12
326820,261,-102.7,12
328077,262,-102.7,12
329334,263,-102.7,12
330591,264,-102.7,13
331848,265,-102.7,13
333105,266,-102.7,12
334362,267,-102.7,12
335619,268,-102.7,13
336876,269,-102.7,12
338133,270,-102.7,12
339390,271,-102.7,13
340647,272,-102.7,12
341904,273,-102.7,13
343161,274,-102.7,12
344418,275,-102.7,12
345675,276,-102.7,13
346932,277,-102.7,12
348189,278,-102.7,12
349446,279,-102.7,12
350703,280,-102.7,13
351960,281,-102.7,12
353217,282,-101.6,12
354474,283,-102.7,13
355731,284,-102.7,12
356988,285,-102.7,13
358245,286,-102.7,13
359502,287,-102.7,13
360759,288,-102.7,13
362016,289,-102.7,12
363273,290,-102.7,12
364530,291,-102.7,12
365787,292,-102.7,13
367044,293,-102.7,13
368301,294,-102.7,13
369558,295,-101.6,13
370815,296,-102.7,13
372072,297,-102.7,13
373329,298,-102.7,13
374586,299,-102.7,13
375843,300,-102.7,13
377100,301,-102.7,13
378357,302,-102.7,13
379614,303,-102.7,12
380871,304,-101.6,13
382128,305,-102.7,13
383385,306,-102.7,12
384642,307,-102.7,13
385899,308,-102.7,13
387156,309,-102.7,13
388413,310,-102.7,13
389670,311,-102.7,13
390927,312,-102.7,12
392184,313,-102.7,13
393441,314,-103.8,13
394698,315,-102.7,13
395955,316,-102.7,12
397212,317,-102.7,12
398469,318,-103.8,12
399726,319,-102.7,13
400983,320,-102.7,12
402240,321,-102.7,13
404754,323,-103.8,13
406011,324,-102.7,13
407268,325,-102.7,12
408525,326,-103.8,13
409782,327,-102.7,12
411039,328,-102.7,12
412296,329,-102.7,12
413553,330,-102.7,12
414810,331,-102.7,12
416067,332,-102.7,13
417324,333,-102.7,13
418581,334,-102.7,12
419838,335,-102.7,12
421095,336,-103.8,13
422352,337,-119.3,-5
423609,338,-102.7,13
424866,339,-102.7,13
426123,340,-103.8,13
427380,341,-102.7,13
428637,342,-102.7,12
429894,343,-103.8,13
431151,344,-103.8,13
432408,345,-102.7,12
433665,346,-103.8,13
434922,347,-103.8,13
436179,348,-103.8,13
437436,349,-102.7,13
438693,350,-102.7,13
439950,351,-103.8,13
441207,352,-103.8,12
442464,353,-102.7,13
443721,354,-102.7,13
444978,355,-102.7,12
