TS,RxID,RSSI,SNR
0,1,-100.8,4
252,2,-100.8,4
504,3,-100.8,5
756,4,-100.8,5
1008,5,-100.8,4
1260,6,-100.8,4
1512,7,-99.7,4
1764,8,-100.8,4
2016,9,-100.8,4
2268,10,-100.8,4
2520,11,-101.9,4
2773,12,-100.8,4
3024,13,-100.8,4
3276,14,-100.8,4
3528,15,-100.8,4
3780,16,-100.8,4
4032,17,-100.8,4
4284,18,-100.8,4
4536,19,-100.8,3
4788,20,-100.8,3
5040,21,-100.8,3
5292,22,-101.9,4
5544,23,-100.8,4
5796,24,-101.9,4
6048,25,-100.8,4
6300,26,-100.8,4
6552,27,-100.8,4
6804,28,-101.9,3
7056,29,-101.9,4
7308,30,-100.8,4
7560,31,-100.8,4
7812,32,-100.8,3
8064,33,-100.8,4
8316,34,-101.9,5
8568,35,-101.9,4
8820,36,-100.8,4
9072,37,-100.8,4
9324,38,-100.8,4
9576,39,-100.8,4
9828,40,-100.8,4
10080,41,-100.8,4
10332,42,-101.9,3
10584,43,-101.9,3
10836,44,-100.8,3
11088,45,-100.8,4
11340,46,-100.8,5
11592,47,-100.8,4
11844,48,-100.8,4
12096,49,-100.8,4
12348,50,-100.8,4
12600,51,-100.8,4
12852,52,-100.8,4
13104,53,-100.8,3
13356,54,-100.8,4
13608,55,-100.8,4
13860,56,-100.8,4
14112,57,-100.8,4
14364,58,-100.8,5
14616,59,-100.8,4
14868,60,-100.8,4
15120,61,-100.8,4
15372,62,-100.8,4
15624,63,-100.8,4
15876,64,-100.8,5
16128,65,-100.8,4
16380,66,-100.8,5
16632,67,-100.8,5
16884,68,-100.8,5
17136,69,-99.7,5
17388,70,-99.7,5
17640,71,-100.8,4
17892,72,-100.8,4
18144,73,-100.8,4
18396,74,-100.8,4
18648,75,-100.8,4
18900,76,-100.8,4
19152,77,-100.8,4
19404,78,-100.8,5
19656,79,-100.8,4
19908,80,-100.8,4
20160,81,-100.8,4
20412,82,-100.8,5
20664,83,-100.8,4
20916,84,-100.8,4
21168,85,-100.8,4
21420,86,-101.9,4
21672,87,-100.8,5
21924,88,-100.8,4
22176,89,-100.8,5
22428,90,-100.8,5
22680,91,-100.8,4
22932,92,-100.8,4
23184,93,-100.8,4
23436,94,-100.8,4
23688,95,-100.8,4
23940,96,-100.8,4
24192,97,-100.8,3
24444,98,-100.8,4
24696,99,-100.8,4
24948,100,-99.7,4
25200,101,-100.8,5
25452,102,-100.8,4
25704,103,-100.8,4
25956,104,-100.8,4
26208,105,-100.8,4
26460,106,-100.8,4
26712,107,-100.8,4
26964,108,-100.8,4
27216,109,-99.7,4
27468,110,-100.8,4
27720,111,-100.8,4
27972,112,-100.8,4
28224,113,-100.8,5
28476,114,-100.8,4
28728,115,-100.8,4
28980,116,-100.8,4
29232,117,-100.8,4
29484,118,-100.8,4
29736,119,-100.8,4
29988,120,-100.8,5
30240,121,-100.8,5
30492,122,-100.8,4
30744,123,-100.8,5
30996,124,-100.8,5
31248,125,-99.7,4
31500,126,-100.8,4
31752,127,-100.8,5
32004,128,-100.8,5
32256,129,-100.8,4
32508,130,-100.8,4
32760,131,-101.9,4
33012,132,-101.9,4
33264,133,-100.8,4
33516,134,-100.8,4
33768,135,-100.8,4
34020,136,-100.8,4
34272,137,-100.8,4
34524,138,-100.8,4
34776,139,-101.9,4
35028,140,-100.8,4
35280,141,-100.8,4
35532,142,-101.9,4
35784,143,-101.9,4
36036,144,-100.8,4
36288,145,-100.8,4
36540,146,-100.8,4
36792,147,-100.8,4
37044,148,-100.8,4
37296,149,-100.8,4
37548,150,-100.8,4
37800,151,-100.8,4
38052,152,-100.8,4
38304,153,-100.8,4
38556,154,-100.8,4
38808,155,-100.8,5
39060,156,-100.8,5
39312,157,-100.8,5
39564,158,-100.8,4
39816,159,-99.7,4
40068,160,-99.7,4
40320,161,-99.7,4
40572,162,-99.7,5
40824,163,-99.7,5
41076,164,-99.7,5
41328,165,-99.7,6
41580,166,-100.8,5
41832,167,-100.8,5
42084,168,-99.7,4
42336,169,-99.7,5
42588,170,-100.8,5
42840,171,-99.7,5
43092,172,-100.8,5
43344,173,-99.7,5
43596,174,-100.8,5
43848,175,-99.7,4
44100,176,-99.7,5
44352,177,-99.7,5
44604,178,-100.8,6
44856,179,-100.8,6
45108,180,-100.8,5
45360,181,-100.8,5
45612,182,-100.8,6
45864,183,-100.8,6
46116,184,-100.8,5
46368,185,-100.8,6
46620,186,-100.8,6
46872,187,-100.8,6
47124,188,-100.8,5
47376,189,-100.8,6
47628,190,-101.9,6
47880,191,-100.8,6
48132,192,-100.8,6
48384,193,-100.8,6
48636,194,-100.8,6
48888,195,-100.8,6
49140,196,-100.8,6
49392,197,-99.7,6
49644,198,-100.8,6
49896,199,-100.8,6
50148,200,-99.7,6
50400,201,-100.8,6
50652,202,-100.8,6
50904,203,-100.8,6
51156,204,-100.8,6
51408,205,-99.7,6
51660,206,-100.8,6
51912,207,-99.7,6
52164,208,-100.8,6
52416,209,-100.8,6
52668,210,-99.7,6
52920,211,-100.8,6
53172,212,-100.8,6
53424,213,-100.8,6
53676,214,-99.7,7
53928,215,-100.8,6
54180,216,-99.7,7
54432,217,-99.7,6
54684,218,-100.8,6
54936,219,-99.7,6
55188,220,-100.8,7
55440,221,-99.7,6
55692,222,-99.7,6
55944,223,-99.7,7
56196,224,-99.7,7
56448,225,-99.7,7
56700,226,-99.7,6
56952,227,-99.7,7
57204,228,-99.7,6
57456,229,-100.8,6
57708,230,-99.7,6
57960,231,-99.7,6
58212,232,-99.7,6
58464,233,-100.8,6
58716,234,-100.8,7
58968,235,-99.7,7
59220,236,-100.8,7
59472,237,-100.8,6
59724,238,-100.8,6
59976,239,-100.8,7
60480,241,-99.7,5
60732,242,-100.8,6
60984,243,-99.7,7
61236,244,-100.8,6
61488,245,-99.7,6
61740,246,-99.7,7
61992,247,-100.8,7
62244,248,-100.8,7
62496,249,-100.8,7
62748,250,-100.8,7
63000,251,-99.7,7
63252,252,-99.7,7
63504,253,-99.7,7
63756,254,-99.7,6
64008,255,-99.7,7
64260,256,-99.7,8
64512,257,-98.6,7
